iter	Passed	Remaining
0	15	7584
1	31	7900
2	48	8085
3	64	8036
4	85	8424
5	119	9822
6	149	10542
7	168	10371
8	182	9929
9	196	9650
10	213	9479
11	235	9565
12	246	9223
13	260	9043
14	272	8826
15	282	8553
16	294	8373
17	317	8494
18	342	8671
19	350	8418
20	363	8286
21	389	8461
22	408	8472
23	442	8768
24	455	8648
25	480	8760
26	516	9051
27	543	9155
28	578	9395
29	594	9320
30	640	9688
31	659	9643
32	682	9654
33	707	9702
34	736	9784
35	755	9740
36	799	10010
37	818	9953
38	861	10179
39	889	10228
40	907	10157
41	921	10046
42	940	9999
43	955	9905
44	973	9838
45	1002	9891
46	1026	9896
47	1058	9962
48	1103	10158
49	1124	10117
50	1142	10056
51	1156	9962
52	1186	10010
53	1223	10103
54	1240	10035
55	1266	10037
56	1281	9956
57	1293	9856
58	1304	9749
59	1327	9734
60	1339	9638
61	1373	9699
62	1386	9616
63	1424	9702
64	1442	9656
65	1461	9612
66	1481	9574
67	1491	9472
68	1512	9447
69	1524	9362
70	1542	9318
71	1555	9245
72	1571	9194
73	1595	9186
74	1610	9126
75	1625	9067
76	1639	9008
77	1658	8973
78	1668	8893
79	1690	8876
80	1699	8792
81	1711	8725
82	1741	8750
83	1758	8706
84	1776	8672
85	1803	8681
86	1816	8622
87	1831	8575
88	1847	8532
89	1858	8464
90	1865	8385
91	1876	8322
92	1893	8284
93	1904	8226
94	1916	8172
95	1928	8114
96	1941	8066
97	1948	7990
98	1959	7938
99	1978	7914
100	1988	7854
101	2020	7882
102	2029	7821
103	2039	7764
104	2070	7790
105	2084	7746
106	2091	7681
107	2108	7652
108	2119	7604
109	2126	7540
110	2135	7483
111	2156	7469
112	2169	7430
113	2199	7447
114	2216	7421
115	2245	7434
116	2280	7466
117	2297	7437
118	2314	7411
119	2328	7372
120	2339	7327
121	2355	7297
122	2368	7258
123	2382	7222
124	2388	7166
125	2402	7132
126	2410	7080
127	2426	7053
128	2438	7014
129	2460	7001
130	2494	7025
131	2511	7002
132	2548	7031
133	2558	6988
134	2571	6952
135	2590	6933
136	2612	6920
137	2624	6883
138	2644	6868
139	2654	6825
140	2666	6790
141	2685	6770
142	2693	6725
143	2707	6693
144	2716	6651
145	2731	6623
146	2753	6612
147	2772	6594
148	2785	6561
149	2796	6524
150	2809	6493
151	2827	6473
152	2837	6436
153	2846	6394
154	2859	6365
155	2880	6351
156	2890	6315
157	2899	6276
158	2910	6242
159	2935	6236
160	2952	6215
161	2971	6199
162	2987	6177
163	3007	6160
164	3035	6163
165	3059	6156
166	3073	6127
167	3101	6129
168	3140	6151
169	3166	6146
170	3183	6124
171	3200	6104
172	3218	6082
173	3247	6083
174	3279	6091
175	3298	6072
176	3331	6079
177	3360	6079
178	3376	6054
179	3399	6044
180	3415	6019
181	3436	6004
182	3480	6029
183	3496	6005
184	3512	5981
185	3525	5951
186	3536	5919
187	3573	5930
188	3585	5900
189	3608	5886
190	3631	5875
191	3650	5855
192	3667	5834
193	3682	5807
194	3705	5795
195	3734	5791
196	3773	5804
197	3810	5811
198	3839	5808
199	3849	5774
200	3872	5760
201	3890	5740
202	3903	5710
203	3939	5715
204	3959	5697
205	3973	5670
206	4001	5663
207	4016	5638
208	4032	5614
209	4040	5579
210	4069	5574
211	4084	5549
212	4091	5513
213	4103	5483
214	4125	5468
215	4142	5447
216	4154	5417
217	4174	5400
218	4189	5375
219	4205	5352
220	4225	5333
221	4239	5309
222	4250	5280
223	4274	5266
224	4291	5244
225	4317	5234
226	4324	5200
227	4337	5174
228	4349	5147
229	4361	5119
230	4381	5102
231	4406	5089
232	4418	5063
233	4428	5033
234	4444	5012
235	4455	4983
236	4466	4956
237	4472	4924
238	4483	4896
239	4492	4866
240	4512	4849
241	4519	4818
242	4544	4806
243	4558	4782
244	4582	4769
245	4606	4756
246	4623	4735
247	4646	4721
248	4664	4702
249	4706	4706
250	4717	4679
251	4726	4651
252	4759	4646
253	4773	4622
254	4790	4602
255	4806	4580
256	4815	4553
257	4832	4532
258	4844	4508
259	4852	4479
260	4874	4463
261	4903	4453
262	4916	4430
263	4932	4409
264	4948	4387
265	4961	4364
266	4982	4348
267	4996	4325
268	5027	4317
269	5057	4307
270	5086	4298
271	5096	4272
272	5127	4263
273	5144	4243
274	5161	4223
275	5175	4200
276	5190	4178
277	5196	4149
278	5210	4127
279	5222	4103
280	5242	4085
281	5257	4063
282	5279	4047
283	5310	4039
284	5334	4024
285	5349	4002
286	5357	3975
287	5373	3955
288	5401	3943
289	5422	3926
290	5440	3907
291	5467	3894
292	5476	3868
293	5491	3847
294	5505	3825
295	5515	3801
296	5546	3790
297	5556	3766
298	5565	3741
299	5572	3714
300	5583	3691
301	5598	3670
302	5639	3666
303	5651	3643
304	5658	3617
305	5671	3595
306	5696	3581
307	5709	3559
308	5729	3541
309	5754	3526
310	5769	3506
311	5779	3482
312	5785	3456
313	5809	3441
314	5834	3426
315	5842	3402
316	5881	3395
317	5895	3374
318	5912	3354
319	5932	3337
320	5951	3318
321	5965	3297
322	5993	3284
323	6009	3264
324	6023	3243
325	6049	3228
326	6058	3205
327	6072	3184
328	6081	3161
329	6096	3140
330	6118	3123
331	6128	3100
332	6138	3078
333	6160	3061
334	6175	3041
335	6185	3018
336	6197	2997
337	6215	2979
338	6237	2962
339	6251	2941
340	6261	2919
341	6271	2897
342	6285	2877
343	6304	2858
344	6331	2844
345	6342	2822
346	6351	2800
347	6360	2778
348	6387	2763
349	6416	2750
350	6430	2729
351	6441	2708
352	6450	2686
353	6470	2668
354	6499	2654
355	6507	2632
356	6518	2610
357	6530	2590
358	6547	2571
359	6558	2550
360	6568	2528
361	6590	2512
362	6605	2492
363	6619	2473
364	6627	2451
365	6639	2430
366	6658	2413
367	6671	2393
368	6687	2374
369	6700	2354
370	6721	2336
371	6747	2321
372	6762	2302
373	6771	2281
374	6785	2261
375	6801	2242
376	6820	2225
377	6852	2211
378	6875	2195
379	6895	2177
380	6902	2155
381	6915	2136
382	6926	2115
383	6959	2102
384	6973	2082
385	7000	2067
386	7010	2046
387	7018	2025
388	7035	2007
389	7047	1987
390	7069	1970
391	7085	1952
392	7116	1937
393	7142	1921
394	7152	1901
395	7176	1884
396	7185	1864
397	7197	1844
398	7210	1825
399	7227	1806
400	7258	1792
401	7273	1773
402	7290	1754
403	7302	1735
404	7322	1717
405	7347	1701
406	7375	1685
407	7389	1666
408	7408	1648
409	7422	1629
410	7436	1610
411	7447	1590
412	7470	1573
413	7481	1554
414	7494	1535
415	7520	1518
416	7551	1502
417	7580	1487
418	7601	1469
419	7618	1451
420	7636	1433
421	7658	1415
422	7676	1397
423	7699	1380
424	7734	1364
425	7745	1345
426	7774	1329
427	7809	1313
428	7841	1297
429	7873	1281
430	7883	1262
431	7902	1243
432	7914	1224
433	7948	1208
434	7963	1189
435	7991	1173
436	8010	1154
437	8037	1137
438	8068	1121
439	8100	1104
440	8136	1088
441	8181	1073
442	8202	1055
443	8221	1036
444	8236	1018
445	8284	1003
446	8299	984
447	8320	965
448	8362	949
449	8392	932
450	8408	913
451	8430	895
452	8449	876
453	8467	857
454	8480	838
455	8495	819
456	8507	800
457	8532	782
458	8543	763
459	8559	744
460	8576	725
461	8588	706
462	8624	689
463	8633	669
464	8658	651
465	8666	632
466	8683	613
467	8693	594
468	8703	575
469	8713	556
470	8726	537
471	8742	518
472	8756	499
473	8772	481
474	8805	463
475	8815	444
476	8831	425
477	8846	407
478	8853	388
479	8881	370
480	8908	351
481	8917	333
482	8928	314
483	8937	295
